name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district,composite_score
"Congressional District 14 (116th Congress), Illinois",0.22772989167727903,0.9998503557768312,0.5243328100470958,1.0,0.22838142756769975,0.9258006212649841,Illinois,14,0.6510158510556483
"Congressional District 16 (116th Congress), Illinois",0.21241678292637828,0.9997969255495682,0.21507064364207218,1.0,0.21005568263067156,0.8664934777245792,Illinois,16,0.5839722520788783
"Congressional District 18 (116th Congress), Illinois",0.21519380816441122,0.9998054847024986,0.36891679748822603,1.0,0.21261045991562488,0.8792309202676374,Illinois,18,0.612626245089733
"Congressional Districts not defined (116th Congress), Illinois",0.0,0.0,,1.0,0.0,1.0,Illinois,ZZ,
"Congressional District 2 (116th Congress), Iowa",0.24036027302756263,0.9997968505745075,0.3124018838304552,1.0,0.2386355124566285,0.8223705739904444,Iowa,02,0.602260848979933
"Congressional District 4 (116th Congress), Iowa",0.23140904313189228,0.9997914568686401,0.24489795918367346,1.0,0.2294768185068141,0.8384358621939616,Iowa,04,0.5906685233141635
"Congressional District 2 (116th Congress), Maryland",0.2360769396635134,0.9998234157380176,0.3751962323390894,1.0,0.23158248241153148,0.8748357474059418,Maryland,02,0.6195858029263489
"Congressional District 4 (116th Congress), Maryland",0.2320196753819984,0.9998459052572276,0.4113029827315542,1.0,0.23163974359371178,0.9114772916068813,Maryland,04,0.6310475997618956
"Congressional District 6 (116th Congress), Maryland",0.23677572656944468,0.9998447641368037,0.521193092621664,1.0,0.2326986111841922,0.8998323490764095,Maryland,06,0.6483907572647524
"Congressional District 7 (116th Congress), Maryland",0.2205257826259767,0.9998326496664944,0.47566718995290413,1.0,0.21901071248386628,0.8254970371601041,Maryland,07,0.6234222286482243
"Congressional District 1 (116th Congress), Michigan",0.21428492444808123,0.999774287579738,0.2731554160125588,1.0,0.21116252580622197,0.8368952861393466,Michigan,01,0.589212073330991
"Congressional District 3 (116th Congress), Nebraska",0.18414954715536905,0.9997888132479996,0.21036106750392464,1.0,0.18254122031317224,0.8702845031138768,Nebraska,03,0.5745208585557237
"Congressional District 2 (116th Congress), Nevada",0.2229286881051418,0.9998088255912038,0.2857142857142857,1.0,0.2216623694986706,0.874151046937224,Nevada,02,0.6007108693077544
"Congressional District 4 (116th Congress), Nevada",0.23582076899118518,0.9997934332112404,0.18995290423861855,1.0,0.23211918992450808,0.8711806551979339,Nevada,04,0.5881444919272477
"Congressional District 2 (116th Congress), New Hampshire",0.20609084168345293,0.9998300405343817,0.4317111459968602,1.0,0.20478053491229753,0.8994245495325409,New Hampshire,02,0.623639518776589
"Congressional District 1 (116th Congress), Louisiana",0.24638243394083256,0.9998064893683122,0.3469387755102041,1.0,0.24565325723270634,0.8485956088547881,Louisiana,01,0.6145627608178073
"Congressional District 3 (116th Congress), Louisiana",0.24130570867435672,0.999793640142408,0.2009419152276295,1.0,0.2406278920766,0.8286335694543038,Louisiana,03,0.5852171209292163
"Congressional District 5 (116th Congress), Louisiana",0.22828339233859252,0.9997845321720331,0.14599686028257458,1.0,0.2175018029534389,0.8002386382515972,Louisiana,05,0.5653008709997059
"Congressional District 1 (116th Congress), New York",0.21976587106321888,0.9998610442214858,0.4332810047095761,1.0,0.21939699332365567,0.9211486857275194,New York,01,0.6322422665075759
"Congressional District 2 (116th Congress), New York",0.2183176160032338,0.9998687861462545,0.37205651491365777,1.0,0.21893642770698368,0.9341932365690465,New York,02,0.6238954302231962
"Congressional District 4 (116th Congress), New York",0.2218766682577507,0.9998920704011081,0.5368916797488226,1.0,0.2218938903866213,0.9366148610209085,New York,04,0.6528615283025352
"Congressional District 6 (116th Congress), New York",0.22409834987999297,0.999835510714811,0.4505494505494506,1.0,0.22446011990801068,0.8530260236523736,New York,06,0.6253282424507732
"Congressional District 8 (116th Congress), New York",0.2374846497250005,0.999836371428508,0.4050235478806907,1.0,0.23780352295554366,0.7527325086720336,New York,08,0.6054801001102961
"Congressional District 9 (116th Congress), New York",0.2214125508885805,0.9998551811717384,0.48037676609105184,1.0,0.22197715124071052,0.7896308155487421,New York,09,0.6188754108234705
"Congressional District 11 (116th Congress), New York",0.22417728976343224,0.9998474932290135,0.42700156985871274,1.0,0.22428245548329984,0.8578894108051776,New York,11,0.6221997031899393
"Congressional District 13 (116th Congress), New York",0.23330575044799154,0.9998731346997757,0.3626373626373627,1.0,0.23311832017357875,0.6873335447849487,New York,13,0.5860446854572762
